StartTime	EndTime	Value
1552660	1556784	shoulder closeup
1556784	1558940	medium long shot
1558940	1577660	long shot
1577660	1588460	neither
1588460	1600300	medium shot
1600300	1604140	medium closeup
1604140	1661180	neither
1661180	1665260	medium long shot
1665260	1668940	medium long shot
1668940	1672340	closeup
1672340	1678340	long shot
1678340	1684540	medium closeup
1684540	1688060	medium closeup
1688060	1694060	shoulder closeup
1694060	1702620	neither
1702620	1706980	medium closeup
1706980	1714914	neither
1714914	1730380	neither
1730380	1749300	shoulder closeup
1749300	1753540	medium closeup
1753540	1770460	neither
1770460	1780740	medium shot
1780740	1784940	medium closeup
1784940	1789300	neither
1789300	1793540	extreme long shot
1793540	1796360	long shot
1796360	1800380	long shot
1800380	1805860	long shot
1805860	1811500	neither, shoulder closeup
1811500	1814780	medium closeup
1814780	1821380	long shot
1821380	1824340	medium closeup
1824340	1828220	medium shot
1828220	1838180	neither
1838180	1842220	medium shot
1842220	1849500	neither
1849500	1856420	medium long shot
1856420	1874740	shoulder closeup
1874740	1882380	neither
1882380	1887221	neither
1887221	1896780	neither
1896780	1901460	neither
1901460	1905380	shoulder closeup
1905380	1919780	medium shot
1919780	1926844	shoulder closeup
1926844	1930420	closeup
1930420	1937140	shoulder closeup
1937140	1941486	neither
1941486	1947940	neither
1947940	1950180	shoulder closeup
1950180	1953060	medium shot
1953060	1962820	medium closeup
1962820	1969757	medium closeup
1969757	1987000	medium closeup
1987000	1996300	shoulder closeup
1996300	2001020	neither
2001020	2010540	shoulder closeup
2010540	2016499	neither
2016499	2022380	shoulder closeup
2022380	2034859	shoulder closeup
2034859	2037660	long shot
2037660	2045740	medium closeup
2045740	2055139	long shot
2055139	2067380	neither
2067380	2070620	medium closeup
2070620	2074179	closeup
2074179	2076240	medium shot
2076240	2078300	medium long shot
2078300	2080860	medium closeup
2080860	2084240	medium long shot
2084240	2087380	medium closeup
2087380	2093580	neither
2093580	2103500	shoulder closeup
2103500	2108980	shoulder closeup
2108980	2116240	shoulder closeup
2116240	2121220	shoulder closeup
2121220	2126780	shoulder closeup
2126780	2130700	medium shot
2130700	2139220	neither
2139220	2149780	medium closeup
2149780	2156220	long shot
2156220	2159380	medium closeup
2159380	2162900	long shot
2162900	2192500	neither
2192500	2195771	shoulder closeup
2195771	2217380	shoulder closeup
2217380	2239060	neither
2239060	2252100	shoulder closeup
2252100	2256519	long shot
2256519	2260060	medium closeup
2260060	2265700	long shot
2265700	2271540	medium long shot
2271540	2278140	closeup
2278140	2291500	long shot
2291500	2295820	long shot
2295820	2299820	neither
2299820	2300478	medium closeup
2300478	2304620	neither
2304620	2307500	medium closeup
2307500	2312580	medium closeup
2312580	2315300	medium shot
2315300	2318940	medium closeup
2318940	2325460	shoulder closeup
2325460	2328140	medium shot
2328140	2330860	medium closeup
2330860	2338500	medium closeup
2338500	2340660	medium closeup
2340660	2341980	shoulder closeup
2341980	2343220	shoulder closeup
2343220	2345300	medium closeup
2345300	2347300	medium closeup
2347300	2352340	neither
2352340	2354460	medium closeup
2354460	2359580	neither
2359580	2374076	neither
2374076	2375243	neither
2375243	2376417	neither
2376417	2381260	neither
2381260	2389780	medium closeup
2389780	2404720	shoulder closeup
2404720	2407380	medium closeup
2407380	2415020	shoulder closeup
2415020	2422940	medium closeup
2422940	2429240	closeup
2429240	2431820	medium closeup
2431820	2435620	neither
2435620	2442380	medium closeup
2442380	2449340	shoulder closeup
2449340	2449900	medium closeup
2449900	2450540	medium closeup
2450540	2451400	closeup
2451400	2452860	closeup
2452860	2454060	shoulder closeup
2454060	2455300	closeup
2455300	2457341	shoulder closeup
2457341	2458790	medium long shot
2458790	2459857	medium closeup
2459857	2461540	medium closeup
2461540	2462078	closeup
2462078	2462558	shoulder closeup
2462558	2463240	closeup
2463240	2465573	shoulder closeup
2465573	2466820	closeup
2466820	2468900	long shot
2468900	2473577	long shot
2473577	2479923	long shot
2479923	2483100	long shot
2483100	2484700	long shot
2484700	2487060	long shot
2487060	2489180	long shot
2489180	2491780	long shot
2491780	2495700	long shot
2495700	2497900	medium closeup
2497900	2501580	extreme long shot
2501580	2504060	long shot
2504060	2515240	medium closeup
2515240	2519180	shoulder closeup
2519180	2522540	shoulder closeup
2522540	2524100	shoulder closeup
2524100	2529140	medium shot
2529140	2533460	medium closeup
2533460	2541380	long shot
2541380	2548900	medium closeup
2548900	2553380	medium closeup
2553380	2557380	long shot
2557380	2559220	medium closeup
2559220	2561780	long shot
2561780	2564380	medium closeup
2564380	2568780	shoulder closeup
2568780	2573500	shoulder closeup
2573500	2575780	shoulder closeup
2575780	2579700	medium shot
2579700	2582620	medium closeup
2582620	2587700	neither
2587700	2590420	medium closeup
2590420	2593109	medium long shot
2593109	2594863	medium shot
2594863	2597140	closeup
2597140	2600300	medium shot
2600300	2601500	medium closeup
2601500	2603094	neither
2603094	2608149	neither
2608149	2615460	medium closeup
2615460	2620700	closeup
2620700	2628140	medium closeup
2628140	2634320	closeup
2634320	2640800	neither
2640800	2645660	neither
2645660	2648780	medium shot
2648780	2654540	neither
2654540	2660180	medium closeup
2660180	2666100	medium closeup
2666100	2668060	medium closeup
2668060	2674580	neither
2674580	2678940	medium shot
2678940	2679660	neither
2679660	2680060	neither
2680060	2680584	neither
2680584	2681060	neither
2681060	2684260	neither
2684260	2689420	medium shot
2689420	2692500	closeup
2692500	2696060	medium shot
2696060	2702940	medium closeup
2702940	2704967	medium long shot
2704967	2707420	shoulder closeup
2707420	2714140	medium closeup
2714140	2717900	medium shot
2717900	2719740	medium closeup
2719740	2724060	medium closeup
2724060	2727340	shoulder closeup
2727340	2734460	medium closeup
2734460	2737260	medium closeup
2737260	2741020	extreme long shot
2741020	2752340	shoulder closeup
2752340	2760300	shoulder closeup
2760300	2762820	neither
2762820	2764340	shoulder closeup
2764340	2769860	long shot
2769860	2771820	shoulder closeup
2771820	2775100	medium long shot
2775100	2777900	medium shot
2777900	2782620	shoulder closeup
2782620	2784900	medium long shot
2784900	2787740	long shot
2787740	2794780	shoulder closeup
2794780	2802820	long shot
2802820	2809540	shoulder closeup
2809540	2817740	medium long shot
2817740	2822167	medium closeup
2822167	2825100	medium closeup
2825100	2835820	shoulder closeup
2835820	2850040	medium long shot,[TO],medium shot
2850040	2856620	neither
2856620	2863980	shoulder closeup
2863980	2866500	shoulder closeup
2866500	2873378	neither
