StartTime	EndTime	Value
1275280	1277400	shoulder closeup,[TO],medium closeup
1277400	1278920	medium long shot
1278920	1279800	shoulder closeup
1279800	1281325	medium closeup
1281325	1283073	shoulder closeup
1283073	1283630	medium shot
1283630	1284878	closeup
1284878	1287928	medium closeup,[TO],shoulder closeup
1287928	1291689	medium shot
1291689	1296033	medium closeup
1296033	1299144	medium closeup
1299144	1303453	medium closeup,[TO],shoulder closeup
1303453	1304479	medium long shot
1304479	1309200	medium long shot
1309200	1318060	extreme closeup,[TO],medium long shot
1318060	1322540	extreme long shot
1322540	1324600	medium long shot
1324600	1326960	medium closeup
1326960	1328380	medium long shot
1328380	1330180	closeup
1330180	1332060	medium closeup
1332060	1333260	medium closeup
1333260	1335340	shoulder closeup
1335340	1337380	shoulder closeup
1337380	1339160	shoulder closeup
1339160	1343080	medium shot
1343080	1364900	medium closeup
1364900	1370600	medium long shot
1370600	1373554	closeup
1373554	1376520	shoulder closeup,[TO],medium shot
1376520	1379640	medium shot,[TO],shoulder closeup
1379640	1382680	medium long shot,[TO],long shot
1382680	1386040	long shot,[TO],medium long shot
1386040	1387360	long shot
1387360	1388420	long shot,[TO],medium long shot
1388420	1390220	medium long shot,[TO],long shot
1390220	1391440	long shot
1391440	1392200	medium closeup
1392200	1393040	medium shot,[TO],medium closeup
1393040	1395735	long shot,[TO],medium long shot
1395735	1398520	long shot
1398520	1400080	medium closeup
1400080	1401420	long shot
1401420	1404108	medium long shot,[TO],medium shot
1404108	1405620	long shot,[TO],medium closeup
1405620	1406931	closeup,[TO],medium closeup
1406931	1409680	shoulder closeup,[TO],medium long shot
1409680	1410800	long shot,[TO],medium shot
1410800	1412320	medium shot,[TO],medium long shot
1412320	1413240	long shot
1413240	1415200	medium shot
1415200	1416175	medium closeup
1416175	1418356	long shot,[TO],medium closeup
1418356	1419700	 neither
1419700	1422124	closeup
1422124	1423780	neither
1423780	1431560	long shot
1431560	1450240	long shot,[TO],medium shot
1450240	1462600	medium closeup
1462600	1482560	medium closeup,[TO],shoulder closeup
1482560	1495400	medium closeup
1495400	1499000	long shot
1499000	1501000	medium long shot
1501000	1502040	medium long shot
1502040	1503120	medium closeup
1503120	1504960	long shot
1504960	1506240	medium shot
1506240	1507800	medium closeup
1507800	1509520	shoulder closeup
1509520	1511520	medium closeup
1511520	1513460	medium long shot
1513460	1515600	medium closeup
1515600	1518280	medium long shot
1518280	1521000	medium shot
1521000	1523200	medium closeup
1523200	1526080	medium shot
1526080	1528600	medium closeup
1528600	1531440	medium closeup
1531440	1535360	medium shot
1535360	1545600	medium long shot
1545600	1560840	medium closeup,[TO],long shot
1560840	1572520	shoulder closeup,[TO],medium closeup
1572520	1574360	shoulder closeup
1574360	1577920	medium closeup
1577920	1580640	medium closeup
1580640	1587560	shoulder closeup
1587560	1591600	medium long shot
1591600	1599320	shoulder closeup,[TO],long shot
1599320	1612040	long shot,[TO],extreme long shot
1612040	1616820	long shot
1616820	1621800	closeup
1621800	1624960	shoulder closeup
1624960	1627680	medium shot
1627680	1631720	medium closeup
1631720	1633020	medium closeup
1633020	1635080	medium shot
1635080	1636680	shoulder closeup
1636680	1644320	medium closeup
1644320	1646280	closeup
1646280	1648000	closeup
1648000	1650920	medium shot
1650920	1661680	medium closeup,[TO],shoulder closeup
1661680	1681600	closeup
1681600	1684640	neither
1684640	1688040	medium shot
1688040	1689280	medium shot
1689280	1690280	medium shot
1690280	1691160	medium long shot
1691160	1692220	closeup
1692220	1695220	medium long shot,[TO],medium shot
1695220	1702240	long shot
1702240	1705160	medium closeup
1705160	1707160	long shot
1707160	1714480	medium closeup
1714480	1719760	medium long shot
1719760	1726960	medium closeup
1726960	1728600	shoulder closeup
1728600	1731080	medium shot
1731080	1731860	medium closeup
1731860	1733340	closeup
1733340	1737920	medium closeup
1737920	1741480	medium closeup
1741480	1745300	medium shot,[TO],medium closeup
1745300	1748880	closeup,[TO],medium closeup
1748880	1751520	medium closeup
1751520	1759760	medium closeup
1759760	1767620	long shot,[TO],medium long shot
1767620	1773640	long shot
1773640	1778980	long shot
1778980	1783400	long shot
1783400	1790480	long shot,[TO],medium long shot
1790480	1794560	medium shot
1794560	1801280	medium closeup
1801280	1814880	long shot
1814880	1823620	closeup
1823620	1825621	shoulder closeup
1825621	1833320	shoulder closeup
1833320	1840200	shoulder closeup
1840200	1854160	medium closeup
1854160	1862920	medium shot,[TO],medium closeup
1862920	1869528	long shot
1869528	1872480	shoulder closeup
1872480	1874520	shoulder closeup
1874520	1878040	shoulder closeup,[TO],closeup
1878040	1880840	medium closeup
1880840	1884960	medium closeup
1884960	1886240	shoulder closeup
1886240	1889120	medium closeup
1889120	1897520	shoulder closeup
1897520	1906880	medium shot,[TO],long shot
1906880	1909100	medium long shot
1909100	1911580	medium shot
1911580	1913880	medium closeup,[TO],medium shot
1913880	1915080	shoulder closeup
1915080	1916720	shoulder closeup
1916720	1918440	shoulder closeup
1918440	1920080	shoulder closeup
1920080	1926360	medium long shot
1926360	1929160	medium shot
1929160	1934800	medium long shot
1934800	1937840	closeup
1937840	1939280	medium long shot
1939280	1943840	medium long shot,[TO],medium closeup
1943840	1949320	medium long shot,[TO],medium closeup
1949320	1953000	medium long shot
1953000	1957420	neither
1957420	1962960	medium long shot,[TO],shoulder closeup
1962960	1967080	shoulder closeup
1967080	1972440	closeup
1972440	1983320	medium closeup
1983320	1985080	medium long shot
1985080	1986960	medium long shot
1986960	1990440	medium closeup
1990440	1995120	medium long shot
1995120	2001199	medium long shot
2001199	2008640	medium long shot
2008640	2018240	shoulder closeup
2018240	2025399	medium long shot,[TO],shoulder closeup
2025399	2042679	shoulder closeup
2042679	2046520	medium closeup,[TO],medium shot
2046520	2050279	long shot
2050279	2053360	long shot
2053360	2055200	medium closeup
2055200	2055720	medium shot,[TO],medium closeup
2055720	2056520	medium shot
2056520	2058160	neither
2058160	2058960	medium shot
2058960	2059959	medium shot
2059959	2061000	medium closeup
2061000	2064800	medium long shot,[TO],shoulder closeup
2064800	2068720	medium closeup,[TO],shoulder closeup
2068720	2073480	shoulder closeup
2073480	2076400	medium closeup
2076400	2087320	shoulder closeup
2087320	2088880	shoulder closeup
2088880	2097740	shoulder closeup
2097740	2101960	medium long shot
2101960	2114160	shoulder closeup
2114160	2120800	medium long shot,[TO],extreme long shot
2120800	2126400	shoulder closeup
2126400	2131260	shoulder closeup
2131260	2139880	shoulder closeup
2139880	2142620	shoulder closeup,[TO],long shot
2142620	2151260	medium long shot
2151260	2162320	medium closeup
2162320	2191840	shoulder closeup
2191840	2212920	shoulder closeup
2212920	2216480	medium long shot,[TO],medium shot
2216480	2221160	shoulder closeup
2221160	2243840	medium closeup
2243840	2249040	shoulder closeup
2249040	2253680	shoulder closeup
2253680	2259615	shoulder closeup
2259615	2268120	shoulder closeup
2268120	2279599	long shot,[TO],medium long shot
2279599	2281354	long shot
2281354	2306680	long shot
2306680	2308720	shoulder closeup
2308720	2322542	shoulder closeup
2322542	2325894	long shot
2325894	2342447	long shot
2342447	2354080	long shot
2354080	2360440	medium shot
2360440	2364200	closeup,[TO],extreme closeup
2364200	2367480	medium shot
2367480	2376040	shoulder closeup,[TO],closeup
2376040	2379080	long shot,[TO],medium long shot
2379080	2396260	neither
2396260	2402520	medium long shot,[TO],medium shot
2402520	2408520	shoulder closeup
2408520	2413360	closeup
2413360	2416160	shoulder closeup
2416160	2424480	shoulder closeup
2424480	2427600	closeup,[TO],extreme closeup
2427600	2437520	medium closeup,[TO],shoulder closeup
2437520	2443960	medium long shot
2443960	2447160	medium long shot
2447160	2451000	medium long shot
2451000	2458160	shoulder closeup
2458160	2467920	medium shot
2467920	2470000	medium closeup
2470000	2471420	neither
2471420	2481584	neither
2481584	2486320	neither
2486320	2488600	medium closeup
2488600	2493936	neither
2493936	2498080	neither
2498080	2502500	medium closeup
2502500	2506400	neither
2506400	2509040	shoulder closeup,[TO],closeup
2509040	2534080	medium closeup
2534080	2547480	medium long shot,[TO],medium shot
2547480	2563040	medium closeup
2563040	2565680	shoulder closeup
2565680	2575800	neither
2575800	2585040	shoulder closeup,[TO],medium closeup
2585040	2588240	shoulder closeup
2588240	2593200	medium long shot
2593200	2599580	medium long shot
2599580	2601620	medium long shot
2601620	2606080	medium shot
2606080	2609080	medium closeup
2609080	2611160	medium shot
2611160	2612880	medium long shot,[TO],medium closeup
2612880	2619120	closeup
2619120	2621080	medium shot
2621080	2625720	medium closeup
2625720	2641400	shoulder closeup
2641400	2646200	medium long shot
2646200	2665920	medium closeup,[TO],medium shot
2665920	2667680	closeup
2667680	2669600	shoulder closeup
2669600	2672560	shoulder closeup
2672560	2675600	medium long shot
2675600	2681520	shoulder closeup
2681520	2692800	shoulder closeup
2692800	2696520	medium long shot
2696520	2702040	medium shot
2702040	2705600	medium long shot
2705600	2713680	medium shot
2713680	2723000	closeup
2723000	2727400	medium closeup
2727400	2730440	medium closeup
2730440	2732960	closeup
2732960	2735400	shoulder closeup
2735400	2740760	shoulder closeup
2740760	2748160	shoulder closeup
2748160	2764160	shoulder closeup
2764160	2772600	long shot,[TO],medium long shot
2772600	2780560	neither
2780560	2792800	medium closeup
2792800	2796440	shoulder closeup
2796440	2797920	medium closeup
2797920	2819520	shoulder closeup,[TO],closeup
2819520	2822400	shoulder closeup
2822400	2835040	shoulder closeup
2835040	2837720	shoulder closeup
2837720	2851240	shoulder closeup
2851240	2853760	medium closeup
2853760	2857520	shoulder closeup
2857520	2861640	shoulder closeup
2861640	2862840	shoulder closeup
2862840	2868840	shoulder closeup,[TO],closeup
2868840	2876400	medium shot
2876400	2890800	medium closeup
2890800	2895200	medium closeup
2895200	2899600	medium shot
2899600	2908640	shoulder closeup
2908640	2917360	medium closeup,[TO],shoulder closeup
2917360	2934520	medium closeup,[TO],shoulder closeup
2934520	2948999	shoulder closeup
2948999	2953440	medium shot
2953440	2955280	medium closeup
2955280	2958520	shoulder closeup
2958520	2961869	medium shot,[TO],medium closeup
2961869	2966580	neither
2966580	2969730	medium closeup
2969730	2973220	extreme closeup
2973220	2975501	shoulder closeup
2975501	2978440	shoulder closeup
2978440	2983040	medium long shot
2983040	2985400	medium shot
2985400	2988040	medium closeup
2988040	2996120	long shot,[TO],medium closeup
2996120	3003482	medium shot,[TO],medium closeup
3003482	3004280	shoulder closeup
3004280	3007360	medium closeup
3007360	3008960	medium shot
3008960	3009500	medium closeup
3009500	3011300	medium long shot
3011300	3013540	medium long shot
3013540	3017000	medium long shot,[TO],medium closeup
3017000	3017700	closeup
3017700	3018560	medium long shot
3018560	3019920	medium closeup
3019920	3023160	medium closeup,[TO],medium shot
3023160	3026240	medium shot,[TO],medium closeup
3026240	3030480	medium long shot
3030480	3032000	medium closeup
3032000	3033600	medium closeup
3033600	3036528	medium closeup
3036528	3041380	medium long shot
3041380	3046932	medium shot,[TO],long shot
3046932	3051552	medium long shot
