"mediauri","title"
"http://ada.cinepoetics.org/resource/media/e33f1b2ecc7e6c375e72cc2174b9b56dcca3af6b7380d33e4d8c28793802b0d9","Tagesschau 2008-04-11"
"http://ada.cinepoetics.org/resource/media/54837061e6da16abfc0db131c6d7da0c7c6d5da1d3feed4179d428330165ee63","Tagesschau 2008-04-13"
"http://ada.cinepoetics.org/resource/media/e958a128a05ee731aebf43d7649560258e9b410b999d9058482bcb1fd3069dd0","Tagesschau 2008-04-14"
"http://ada.cinepoetics.org/resource/media/b6ed406d9209a2b417f99e172eb4fee09d35dcc0dfd04935bc48c0340b96e7c3","Tagesschau 2008-04-17"
"http://ada.cinepoetics.org/resource/media/7905bf3c69b720a09f97a303c0d0f16da6a17ecab47bd4db42952dde74b1c17d","Tagesschau 2008-06-02"
"http://ada.cinepoetics.org/resource/media/b47ff80f06d18a4aff4c7139553829f0d3164b61e1e20d3d326eb32f3545ef41","Tagesschau 2008-06-07"
"http://ada.cinepoetics.org/resource/media/4db09fd16a2bbfacae9a5c1fa9e916ec56a2411921b402456cf47057decdb370","Tagesschau 2008-06-17"
"http://ada.cinepoetics.org/resource/media/3911cf8efa9aca7c83258442aa48a9f5bcf790378349be0bcc155bc095e16d0f","Tagesschau 2008-06-27"
"http://ada.cinepoetics.org/resource/media/241162d895e9a0f95dde06e9a22e431cd2de6be4a5f84a2f6268ee2436dda92d","Tagesschau 2008-07-03"
"http://ada.cinepoetics.org/resource/media/ff40b027fb84a7d66ed6f7a4ca58398302ec8cc38509f39e27c562280132aa25","Tagesschau 2008-07-12"
"http://ada.cinepoetics.org/resource/media/c241583b436772efe04a51c3581cde707336864b325085f221f98f22e2a74666","Tagesschau 2008-07-15"
"http://ada.cinepoetics.org/resource/media/f4b528c7954ff679f51e05516cabded570d742cd05dc8e8d56f22bb3c026994c","Tagesschau 2008-08-01"
"http://ada.cinepoetics.org/resource/media/3ee125abc3f86dbe3d87c31525cda6cbd8108afc86d1f35779d3b81508af05bf","Tagesschau 2008-08-21"
"http://ada.cinepoetics.org/resource/media/434ce2d6fa97a98dd78bc6ece8049f2c3102cc348f224db53e96f87a52d8ffe6","Tagesschau 2008-08-23"
"http://ada.cinepoetics.org/resource/media/4fb2ae490a426d54d6e934352d35bfea368fcbf5adc7ea80d3673e90d7142594","Tagesschau 2008-09-01"
"http://ada.cinepoetics.org/resource/media/acf1fece68a0a33b2d5acc6a68c2affd4913296935bf37a21e0444aa386e2f7b","Tagesschau 2008-09-08"
"http://ada.cinepoetics.org/resource/media/1d710848a02dd075d1b69a98a6757c4f2c86d80890b81ec91ca0b08586f56e9f","Tagesschau 2008-09-12"
"http://ada.cinepoetics.org/resource/media/5809c676292e9c052f7580029e4370fff32ffa21acaf3cc439804e243cae0c2d","Tagesschau 2008-09-13"
"http://ada.cinepoetics.org/resource/media/4e5e2e18b71e78e8f2bfc72b1d5885661ca83c0299cb52b604a62322ec194b61","Tagesschau 2008-09-15"
"http://ada.cinepoetics.org/resource/media/2eb6f50cbe8cb479a8fe7abdfd458efaa82637230891f9de3a6cf98a96aaf1da","Tagesschau 2008-09-16"
"http://ada.cinepoetics.org/resource/media/337d83cf04fd4b0a44052041975463b547d3bc9ba3e9ab9993c6a88a685fbb55","Tagesschau 2008-09-17"
"http://ada.cinepoetics.org/resource/media/cd62a224c3b162e1ae52330493ea756bcc780424922a1f4174a21441d1ea3906","Tagesschau 2008-09-18"
"http://ada.cinepoetics.org/resource/media/60ec0289a40adf498dc45b1b66b267e621bccb43631038636ad503d95ffc29df","Tagesschau 2008-09-19"
"http://ada.cinepoetics.org/resource/media/f4aa8bdb99e7d530f115541f5a85e93a6299fcd229cd361e807378ba9c8d9b82","Tagesschau 2008-09-20"
"http://ada.cinepoetics.org/resource/media/caf97301de9ced631d0ad4a4081bc3af41f3a21be8d86f3ca26b0c2539876c19","Tagesschau 2008-09-21"
"http://ada.cinepoetics.org/resource/media/b58bfc4ce43fcccdbf213ba990f94cf8d0cdb7933f6fdb44272a7a5b49b45433","Tagesschau 2008-09-22"
"http://ada.cinepoetics.org/resource/media/4581aa5bf8d811fc0ca1755f179f4ce89fafeb107009875c6d803ee6102b0740","Tagesschau 2008-09-23"
"http://ada.cinepoetics.org/resource/media/79dbcc9bd057a1b99965ceeb5f4b2c8c92fda3ca301e84d6b5266395b3a13865","Tagesschau 2008-09-24"
"http://ada.cinepoetics.org/resource/media/63372632f7dfd6322a1bae824f99314ffbdfebed75a7bb0827648b0f5cad3281","Tagesschau 2008-09-25"
"http://ada.cinepoetics.org/resource/media/07fb5c2be3f5273ddfc0d0a4dca384bcb03953e3734e1903df9beb01047befde","Tagesschau 2008-09-26"
"http://ada.cinepoetics.org/resource/media/d62689a81e12d94eb6b544b62dfed8ff24cd9a9f55faf1183a21a1a5a2a19987","Tagesschau 2008-09-29"
"http://ada.cinepoetics.org/resource/media/255103064330b6875e0169fb6897d4303b3ecb40817c63178bdd5ce6f7ae3cbe","Tagesschau 2008-09-30"
"http://ada.cinepoetics.org/resource/media/3c0f581b5034618e60dbfafc0d53cedd01c808082b302e4901b7a627830ced02","Tagesschau 2008-10-01"
